iter	Passed	Remaining
1267	21240	62516
1268	21257	62498
1269	21274	62482
1270	21291	62466
1271	21307	62449
1272	21324	62431
1273	21340	62413
1274	21357	62398
1275	21375	62383
1276	21392	62367
1277	21408	62348
1278	21423	62328
1279	21440	62310
1280	21456	62291
1281	21472	62273
1282	21488	62254
1283	21505	62238
1284	21522	62221
1285	21538	62203
1286	21554	62185
1287	21571	62168
1288	21587	62149
1289	21604	62133
1290	21620	62114
1291	21636	62095
1292	21653	62080
1293	21670	62064
1294	21687	62047
1295	21703	62029
1296	21722	62018
1297	21739	62003
1298	21758	61991
1299	21774	61972
1300	21790	61954
1301	21807	61938
1302	21823	61920
1303	21839	61901
1304	21857	61888
1305	21874	61870
1306	21890	61853
1307	21907	61837
1308	21923	61818
1309	21939	61798
1310	21955	61780
1311	21971	61761
1312	21989	61748
1313	22006	61733
1314	22022	61713
1315	22038	61694
1316	22054	61675
1317	22069	61654
1318	22091	61651
1319	22109	61638
1320	22127	61624
1321	22143	61607
1322	22160	61590
1323	22176	61572
1324	22193	61554
1325	22209	61537
1326	22226	61520
1327	22242	61501
1328	22259	61484
1329	22275	61466
1330	22291	61447
1331	22308	61431
1332	22324	61413
1333	22341	61396
1334	22359	61383
1335	22376	61366
1336	22393	61351
1337	22409	61331
1338	22425	61315
1339	22441	61294
1340	22457	61277
1341	22473	61257
1342	22489	61240
1343	22506	61223
1344	22523	61206
1345	22540	61190
1346	22556	61172
1347	22573	61155
1348	22589	61137
1349	22606	61121
1350	22622	61101
1351	22638	61083
1352	22655	61066
1353	22671	61049
1354	22688	61032
1355	22705	61015
1356	22723	61002
1357	22740	60988
1358	22757	60971
1359	22774	60954
1360	22789	60934
1361	22806	60918
1362	22824	60903
1363	22841	60887
1364	22859	60873
1365	22874	60854
1366	22890	60835
1367	22906	60816
1368	22922	60798
1369	22938	60778
1370	22955	60763
1371	22973	60748
1372	22990	60732
1373	23010	60723
1374	23027	60707
1375	23043	60689
1376	23067	60691
1377	23083	60672
1378	23099	60654
1379	23116	60638
1380	23134	60624
1381	23150	60606
1382	23167	60589
1383	23183	60571
1384	23200	60555
1385	23217	60540
1386	23235	60524
1387	23251	60506
1388	23267	60488
1389	23284	60473
1390	23302	60458
1391	23319	60443
1392	23334	60422
1393	23350	60403
1394	23365	60383
1395	23381	60362
1396	23397	60343
1397	23412	60324
1398	23428	60304
1399	23444	60286
1400	23461	60268
1401	23477	60250
1402	23494	60236
1403	23512	60220
1404	23529	60205
1405	23546	60188
1406	23563	60172
1407	23580	60157
1408	23598	60142
1409	23616	60129
1410	23632	60111
1411	23648	60093
1412	23666	60079
1413	23682	60060
1414	23699	60045
1415	23716	60027
1416	23733	60011
1417	23750	59995
1418	23766	59978
1419	23783	59962
1420	23800	59945
1421	23817	59928
1422	23834	59912
1423	23850	59895
1424	23871	59887
1425	23887	59869
1426	23904	59854
1427	23921	59837
1428	23937	59817
1429	23952	59798
1430	23968	59779
1431	23985	59763
1432	24002	59747
1433	24018	59727
1434	24034	59710
1435	24052	59694
1436	24067	59675
1437	24083	59655
1438	24099	59638
1439	24115	59619
1440	24132	59601
1441	24148	59583
1442	24165	59567
1443	24183	59553
1444	24199	59536
1445	24216	59520
1446	24234	59505
1447	24251	59490
1448	24269	59475
1449	24286	59460
1450	24303	59442
1451	24320	59427
1452	24336	59408
1453	24352	59390
1454	24369	59373
1455	24385	59355
1456	24401	59336
1457	24419	59323
1458	24435	59306
1459	24452	59289
1460	24469	59273
1461	24488	59260
1462	24505	59244
1463	24521	59226
1464	24536	59206
1465	24552	59187
1466	24568	59169
1467	24585	59153
1468	24602	59136
1469	24620	59121
1470	24635	59101
1471	24650	59081
1472	24668	59066
1473	24686	59052
1474	24703	59037
1475	24722	59025
1476	24739	59009
1477	24755	58992
1478	24772	58973
1479	24787	58954
1480	24803	58935
1481	24819	58916
1482	24835	58899
1483	24852	58881
1484	24868	58863
1485	24883	58843
1486	24900	58826
1487	24916	58808
1488	24932	58789
1489	24949	58773
1490	24965	58755
1491	24981	58737
1492	24998	58720
1493	25014	58702
1494	25031	58686
1495	25046	58665
1496	25063	58649
1497	25079	58631
1498	25095	58611
1499	25113	58597
1500	25129	58579
1501	25145	58560
1502	25161	58542
1503	25177	58525
1504	25194	58508
1505	25212	58494
1506	25231	58483
1507	25248	58467
1508	25265	58451
1509	25282	58433
1510	25298	58416
1511	25313	58395
1512	25330	58379
1513	25347	58361
1514	25363	58343
1515	25378	58323
1516	25394	58305
1517	25411	58289
1518	25427	58271
1519	25444	58254
1520	25460	58236
1521	25477	58218
1522	25495	58205
1523	25511	58186
1524	25526	58167
1525	25543	58150
1526	25558	58131
1527	25574	58111
1528	25589	58091
1529	25606	58074
1530	25621	58054
1531	25638	58037
1532	25654	58018
1533	25671	58002
1534	25687	57986
1535	25704	57969
1536	25720	57950
1537	25736	57933
1538	25753	57916
1539	25771	57901
1540	25788	57884
1541	25805	57869
1542	25821	57852
1543	25838	57835
1544	25854	57816
1545	25871	57801
1546	25890	57788
1547	25906	57771
1548	25922	57753
1549	25939	57736
1550	25960	57729
1551	25977	57713
1552	25995	57698
1553	26011	57679
1554	26027	57662
1555	26044	57645
1556	26061	57629
1557	26079	57615
1558	26095	57596
1559	26112	57581
1560	26129	57564
1561	26146	57549
1562	26163	57533
1563	26180	57516
1564	26197	57499
1565	26213	57482
1566	26230	57466
1567	26248	57452
1568	26266	57437
1569	26283	57421
1570	26300	57405
1571	26317	57388
1572	26334	57373
1573	26350	57355
1574	26367	57339
1575	26384	57322
1576	26400	57304
1577	26415	57284
1578	26432	57267
1579	26449	57251
1580	26465	57234
1581	26482	57216
1582	26499	57199
1583	26515	57183
1584	26531	57164
1585	26548	57147
1586	26564	57128
1587	26581	57113
1588	26597	57095
1589	26615	57080
1590	26632	57064
1591	26649	57048
1592	26668	57036
1593	26685	57020
1594	26701	57003
1595	26718	56985
1596	26734	56967
1597	26751	56950
1598	26766	56931
1599	26782	56912
1600	26800	56897
1601	26816	56881
1602	26833	56864
1603	26849	56846
1604	26867	56831
1605	26884	56815
1606	26901	56798
1607	26917	56781
1608	26933	56763
1609	26949	56744
1610	26965	56726
1611	26981	56708
1612	26998	56691
1613	27013	56671
1614	27029	56652
1615	27044	56633
1616	27060	56613
1617	27077	56597
1618	27093	56579
1619	27109	56561
1620	27125	56543
1621	27141	56525
1622	27153	56498
1623	27168	56479
1624	27185	56461
1625	27201	56443
1626	27216	56423
1627	27232	56404
1628	27249	56388
1629	27264	56369
1630	27280	56351
1631	27297	56334
1632	27314	56318
1633	27331	56302
1634	27348	56286
1635	27366	56272
1636	27384	56257
1637	27401	56242
1638	27417	56223
1639	27435	56208
1640	27452	56193
1641	27469	56176
1642	27485	56159
1643	27501	56141
1644	27518	56124
1645	27535	56108
1646	27552	56092
1647	27569	56076
1648	27586	56060
1649	27602	56041
1650	27620	56027
1651	27637	56011
1652	27655	55997
1653	27674	55984
1654	27691	55968
1655	27707	55950
1656	27724	55933
1657	27741	55918
1658	27759	55903
1659	27776	55887
1660	27793	55871
1661	27810	55854
1662	27826	55836
1663	27844	55822
1664	27860	55804
1665	27876	55786
1666	27892	55768
1667	27909	55751
